2, 12899, 4681, 17580
3, 8724, 3614, 12338
4, 2856, 2533, 5389
5, 3263, 1534, 4797
6, 3903, 2401, 6304
7, 62, 120, 182
8, 2083, 298, 2381
9, 5121, 1238, 6359
10, 4763, 2645, 7408
11, 0, 0, 0
12, 1389, 377, 1766
13, 2691, 2515, 5206
14, 6876, 9506, 16382
15, 1403, 303, 1706
16, 721, 716, 1437
17, 2262, 1382, 3644
18, 902, 574, 1476
19, 1137, 413, 1550
20, 679, 154, 833
21, 324, 407, 731
22, 1447, 1362, 2809
23, 67, 43, 110
24, 1636, 1606, 3242
25, 458, 305, 763
26, 0, 0, 0
27, 17432, 20711, 38143
28, 1530, 988, 2518
29, 5847, 19770, 25617
30, 2829, 7438, 10267
31, 1053, 1387, 2440
32, 1700, 1028, 2728
33, 860, 539, 1399
34, 764, 342, 1106
35, 676, 456, 1132
36, 1880, 1426, 3306
37, 1060, 765, 1825
38, 2430, 1906, 4336
39, 9, 91, 100
40, 20, 280, 300
41, 11, 123, 134
42, 1080, 1679, 2759
43, 687, 2408, 3095
44, 15215, 923, 16138
45, 11481, 1784, 13265
46, 2350, 6265, 8615
47, 2867, 2156, 5023
48, 101, 100, 201
49, 5467, 3177, 8644
50, 292, 5, 297
51, 198, 3, 201
52, 1039, 20, 1059
53, 4753, 1588, 6341
54, 2417, 1507, 3924
55, 3699, 2285, 5984
56, 2298, 1624, 3922
57, 2616, 0, 2616
58, 1528, 1075, 2603
59, 753, 795, 1548
60, 2, 3, 5
61, 216, 228, 444
62, 1054, 681, 1735
63, 1849, 1113, 2962
64, 9016, 6750, 15766
65, 7933, 5030, 12963
66, 1459, 1866, 3325
67, 1606, 1234, 2840
68, 0, 0, 0
69, 1145, 912, 2057
70, 4, 17, 21
71, 723, 573, 1296
72, 1750, 2022, 3772
73, 1446, 1294, 2740
74, 560, 447, 1007
75, 0, 0, 0
76, 1491, 2576, 4067
77, 660, 736, 1396
78, 739, 774, 1513
79, 1224, 1289, 2513
80, 6477, 5446, 11923
81, 5890, 2715, 8605
82, 6639, 4338, 10977
83, 4122, 2873, 6995
84, 4253, 2213, 6466
