TAZ,id,Saudi_Male,Saudi_Fema,Total_Saud,Non_Saudi,Non_Saud_1,Total_Non_,Total_Pop,Area,sergios_data_TAZ_1,sergios_data_Saudi_Male,sergios_data_Saudi_Fema,sergios_data_Total_Saud,sergios_data_Non_Saudi,sergios_data_Non_Saud_1,sergios_data_Total_Non_,sergios_data_Total_Pop,sergios_data_Area,sergios_data_Perc,sergios_data_TAZ_12,sergios_data_Saudi_Ma_1,sergios_data_Saudi_Fe_1,sergios_data_Total_Sa_1,sergios_data_Non_Saudi_,sergios_data_Non_Saudi1,sergios_data_Total_Non1,sergios_data_Total_Po_1,sergios_data_Perc_Cont,sergios_data_Perc_Cat
1101,1101,1473,1324,2797,1998,1846,3844,6641,,1101,1473,1324,2797,1998,1846,3844,6641,0,0.58,1101,1473,1324,2797,1998,1846,3844,6641,0.578828,3
1107,1107,841,756,1597,1007,930,1937,3534,,1107,841,756,1597,1007,930,1937,3534,0,0.55,1107,841,756,1597,1007,930,1937,3534,0.548104,3
1267,1267,1261,1185,2446,1423,857,2280,4726,,1267,1261,1185,2446,1423,857,2280,4726,0,0.48,1267,1261,1185,2446,1423,857,2280,4726,0.482438,3
213,213,610,572,1182,739,377,1116,2298,,213,610,572,1182,739,377,1116,2298,0,0.49,213,610,572,1182,739,377,1116,2298,0.48564,3
214,214,81,59,140,125,115,240,380,,214,81,59,140,125,115,240,380,0,0.63,214,81,59,140,125,115,240,380,0.631579,4
215,215,31,34,65,140,83,223,288,,215,31,34,65,140,83,223,288,0,0.77,215,31,34,65,140,83,223,288,0.774306,4
216,216,2009,1887,3896,2206,1327,3533,7429,,216,2009,1887,3896,2206,1327,3533,7429,0,0.48,216,2009,1887,3896,2206,1327,3533,7429,0.475569,3
217,217,112,76,188,480,312,792,980,,217,112,76,188,480,312,792,980,0,0.81,217,112,76,188,480,312,792,980,0.808163,4
218,218,217,149,366,583,380,963,1329,,218,217,149,366,583,380,963,1329,0,0.72,218,217,149,366,583,380,963,1329,0.724605,4
1043,1043,536,564,1100,2465,1500,3965,5065,,1043,536,564,1100,2465,1500,3965,5065,0,0.78,1043,536,564,1100,2465,1500,3965,5065,0.782823,4
221,221,1187,1247,2434,6123,3728,9851,12285,,221,1187,1247,2434,6123,3728,9851,12285,0,0.8,221,1187,1247,2434,6123,3728,9851,12285,0.801872,4
222,222,3,3,6,17,11,28,34,,222,3,3,6,17,11,28,34,0,0.82,222,3,3,6,17,11,28,34,0.823529,5
225,225,0,0,0,0,0,0,0,,225,0,0,0,0,0,0,0,0,0,225,0,0,0,0,0,0,0,0,1
1156,1156,146,100,246,584,380,964,1210,,1156,146,100,246,584,380,964,1210,0,0.8,1156,146,100,246,584,380,964,1210,0.796694,4
227,227,96,65,161,176,114,290,451,,227,96,65,161,176,114,290,451,0,0.64,227,96,65,161,176,114,290,451,0.643016,4
1127,1127,55,59,114,381,198,579,693,,1127,55,59,114,381,198,579,693,0,0.84,1127,55,59,114,381,198,579,693,0.835498,5
229,229,127,137,264,1057,550,1607,1871,,229,127,137,264,1057,550,1607,1871,0,0.86,229,127,137,264,1057,550,1607,1871,0.858899,5
1137,1137,134,143,277,876,455,1331,1608,,1137,134,143,277,876,455,1331,1608,0,0.83,1137,134,143,277,876,455,1331,1608,0.827736,5
1142,1142,146,88,234,837,663,1500,1734,,1142,146,88,234,837,663,1500,1734,0,0.87,1142,146,88,234,837,663,1500,1734,0.865052,5
1147,1147,249,150,399,978,775,1753,2152,,1147,249,150,399,978,775,1753,2152,0,0.81,1147,249,150,399,978,775,1753,2152,0.814591,5
235,235,156,93,249,542,429,971,1220,,235,156,93,249,542,429,971,1220,0,0.8,235,156,93,249,542,429,971,1220,0.795902,4
236,236,876,796,1672,3710,2212,5922,7594,,236,876,796,1672,3710,2212,5922,7594,0,0.78,236,876,796,1672,3710,2212,5922,7594,0.779826,4
1153,1153,282,256,538,1302,776,2078,2616,,1153,282,256,538,1302,776,2078,2616,0,0.79,1153,282,256,538,1302,776,2078,2616,0.794343,4
1190,1190,559,508,1067,5343,3186,8529,9596,,1190,559,508,1067,5343,3186,8529,9596,0,0.89,1190,559,508,1067,5343,3186,8529,9596,0.888808,5
1481,1481,200,181,381,1061,633,1694,2075,,1481,200,181,381,1061,633,1694,2075,0,0.82,1481,200,181,381,1061,633,1694,2075,0.816386,5
240,240,0,0,0,0,0,0,0,,240,0,0,0,0,0,0,0,0,0,240,0,0,0,0,0,0,0,0,1
241,241,892,810,1702,2583,1541,4124,5826,,241,892,810,1702,2583,1541,4124,5826,0,0.71,241,892,810,1702,2583,1541,4124,5826,0.707861,4
1200,1200,198,179,377,1470,876,2346,2723,,1200,198,179,377,1470,876,2346,2723,0,0.86,1200,198,179,377,1470,876,2346,2723,0.86155,5
244,244,29,26,55,296,176,472,527,,244,29,26,55,296,176,472,527,0,0.9,244,29,26,55,296,176,472,527,0.895636,5
1209,1209,231,209,440,1610,960,2570,3010,,1209,231,209,440,1610,960,2570,3010,0,0.85,1209,231,209,440,1610,960,2570,3010,0.853821,5
1410,1410,1238,963,2201,725,751,1476,3677,,1410,1238,963,2201,725,751,1476,3677,0,0.4,1410,1238,963,2201,725,751,1476,3677,0.401414,2
247,247,584,531,1115,1801,1074,2875,3990,,247,584,531,1115,1801,1074,2875,3990,0,0.72,247,584,531,1115,1801,1074,2875,3990,0.720551,4
248,248,569,516,1085,1047,624,1671,2756,,248,569,516,1085,1047,624,1671,2756,0,0.61,248,569,516,1085,1047,624,1671,2756,0.606313,3
249,249,2403,2341,4744,2529,2391,4920,9664,,249,2403,2341,4744,2529,2391,4920,9664,0,0.51,249,2403,2341,4744,2529,2391,4920,9664,0.509106,3
251,251,407,396,803,678,640,1318,2121,,251,407,396,803,678,640,1318,2121,0,0.62,251,407,396,803,678,640,1318,2121,0.621405,4
1403,1403,1692,1649,3341,1835,1735,3570,6911,,1403,1692,1649,3341,1835,1735,3570,6911,0,0.52,1403,1692,1649,3341,1835,1735,3570,6911,0.516568,3
255,255,2316,2256,4572,2276,2150,4426,8998,,255,2316,2256,4572,2276,2150,4426,8998,0,0.49,255,2316,2256,4572,2276,2150,4426,8998,0.491887,3
257,257,2329,2372,4701,1931,1406,3337,8038,,257,2329,2372,4701,1931,1406,3337,8038,0,0.42,257,2329,2372,4701,1931,1406,3337,8038,0.415153,3
259,259,894,910,1804,1380,1005,2385,4189,,259,894,910,1804,1380,1005,2385,4189,0,0.57,259,894,910,1804,1380,1005,2385,4189,0.569348,3
264,264,367,358,725,357,337,694,1419,,264,367,358,725,357,337,694,1419,0,0.49,264,367,358,725,357,337,694,1419,0.489077,3
267,267,169,132,301,154,159,313,614,,267,169,132,301,154,159,313,614,0,0.51,267,169,132,301,154,159,313,614,0.509772,3
268,268,9,8,17,54,23,77,94,,268,9,8,17,54,23,77,94,0,0.82,268,9,8,17,54,23,77,94,0.819149,5
266,266,946,816,1762,1556,667,2223,3985,,266,946,816,1762,1556,667,2223,3985,0,0.56,266,946,816,1762,1556,667,2223,3985,0.557842,3
928,928,0,0,0,0,0,0,0,,928,0,0,0,0,0,0,0,0,0,928,0,0,0,0,0,0,0,0,1
271,271,11,10,21,63,27,90,111,,271,11,10,21,63,27,90,111,0,0.81,271,11,10,21,63,27,90,111,0.810811,5
272,272,0,0,0,0,0,0,0,,272,0,0,0,0,0,0,0,0,0,272,0,0,0,0,0,0,0,0,1
273,273,243,166,409,1253,816,2069,2478,,273,243,166,409,1253,816,2069,2478,0,0.83,273,243,166,409,1253,816,2069,2478,0.834948,5
274,274,32,22,54,2261,913,3174,3228,,274,32,22,54,2261,913,3174,3228,0,0.98,274,32,22,54,2261,913,3174,3228,0.983271,5
1227,1227,26,17,43,2375,959,3334,3377,,1227,26,17,43,2375,959,3334,3377,0,0.99,1227,26,17,43,2375,959,3334,3377,0.987267,5
1242,1242,55,41,96,1208,423,1631,1727,,1242,55,41,96,1208,423,1631,1727,0,0.94,1242,55,41,96,1208,423,1631,1727,0.944412,5
1249,1249,110,82,192,2609,913,3522,3714,,1249,110,82,192,2609,913,3522,3714,0,0.95,1249,110,82,192,2609,913,3522,3714,0.948304,5
1250,1250,26,19,45,645,226,871,916,,1250,26,19,45,645,226,871,916,0,0.95,1250,26,19,45,645,226,871,916,0.950873,5
280,280,9,7,16,221,77,298,314,,280,9,7,16,221,77,298,314,0,0.95,280,9,7,16,221,77,298,314,0.949045,5
281,281,0,0,0,0,0,0,0,,281,0,0,0,0,0,0,0,0,0,281,0,0,0,0,0,0,0,0,1
282,282,70,53,123,1695,593,2288,2411,,282,70,53,123,1695,593,2288,2411,0,0.95,282,70,53,123,1695,593,2288,2411,0.948984,5
283,283,7,6,13,173,60,233,246,,283,7,6,13,173,60,233,246,0,0.95,283,7,6,13,173,60,233,246,0.947154,5
1231,1231,145,78,223,2688,1879,4567,4790,,1231,145,78,223,2688,1879,4567,4790,0,0.95,1231,145,78,223,2688,1879,4567,4790,0.953445,5
287,287,393,210,603,6768,4729,11497,12100,,287,393,210,603,6768,4729,11497,12100,0,0.95,287,393,210,603,6768,4729,11497,12100,0.950165,5
289,289,108,58,166,1947,1360,3307,3473,,289,108,58,166,1947,1360,3307,3473,0,0.95,289,108,58,166,1947,1360,3307,3473,0.952203,5
290,290,468,251,719,5660,1331,6991,7710,,290,468,251,719,5660,1331,6991,7710,0,0.91,290,468,251,719,5660,1331,6991,7710,0.906744,5
292,292,640,344,984,7902,1858,9760,10744,,292,640,344,984,7902,1858,9760,10744,0,0.91,292,640,344,984,7902,1858,9760,10744,0.908414,5
293,293,408,378,786,4914,801,5715,6501,,293,408,378,786,4914,801,5715,6501,0,0.88,293,408,378,786,4914,801,5715,6501,0.879096,5
1262,1262,781,724,1505,9407,1534,10941,12446,,1262,781,724,1505,9407,1534,10941,12446,0,0.88,1262,781,724,1505,9407,1534,10941,12446,0.879078,5
295,295,336,311,647,3966,647,4613,5260,,295,336,311,647,3966,647,4613,5260,0,0.88,295,336,311,647,3966,647,4613,5260,0.876996,5
297,297,19,6,25,665,126,791,816,,297,19,6,25,665,126,791,816,0,0.97,297,19,6,25,665,126,791,816,0.969363,5
1335,1335,98,113,211,3695,1208,4903,5114,,1335,98,113,211,3695,1208,4903,5114,0,0.96,1335,98,113,211,3695,1208,4903,5114,0.958741,5
300,300,246,153,399,1647,811,2458,2857,,300,246,153,399,1647,811,2458,2857,0,0.86,300,246,153,399,1647,811,2458,2857,0.860343,5
1476,1476,1235,957,2192,3949,950,4899,7091,,1476,1235,957,2192,3949,950,4899,7091,0,0.69,1476,1235,957,2192,3949,950,4899,7091,0.690876,4
302,302,1312,1434,2746,7198,4414,11612,14358,,302,1312,1434,2746,7198,4414,11612,14358,0,0.81,302,1312,1434,2746,7198,4414,11612,14358,0.808748,4
1477,1477,1015,800,1815,4531,1623,6154,7969,,1477,1015,800,1815,4531,1623,6154,7969,0,0.77,1477,1015,800,1815,4531,1623,6154,7969,0.772242,4
1478,1478,2147,1691,3838,9682,3469,13151,16989,,1478,2147,1691,3838,9682,3469,13151,16989,0,0.77,1478,2147,1691,3838,9682,3469,13151,16989,0.774089,4
305,305,517,407,924,2355,844,3199,4123,,305,517,407,924,2355,844,3199,4123,0,0.78,305,517,407,924,2355,844,3199,4123,0.775891,4
306,306,1087,857,1944,4892,1753,6645,8589,,306,1087,857,1944,4892,1753,6645,8589,0,0.77,306,1087,857,1944,4892,1753,6645,8589,0.773664,4
307,307,27,22,49,103,37,140,189,,307,27,22,49,103,37,140,189,0,0.74,307,27,22,49,103,37,140,189,0.740741,4
308,308,269,294,563,1500,919,2419,2982,,308,269,294,563,1500,919,2419,2982,0,0.81,308,269,294,563,1500,919,2419,2982,0.811201,5
309,309,2708,2097,4805,8654,2083,10737,15542,,309,2708,2097,4805,8654,2083,10737,15542,0,0.69,309,2708,2097,4805,8654,2083,10737,15542,0.690838,4
310,310,192,149,341,544,131,675,1016,,310,192,149,341,544,131,675,1016,0,0.66,310,192,149,341,544,131,675,1016,0.66437,4
311,311,1296,1418,2714,7302,4477,11779,14493,,311,1296,1418,2714,7302,4477,11779,14493,0,0.81,311,1296,1418,2714,7302,4477,11779,14493,0.812737,5
1280,1280,549,600,1149,3099,1900,4999,6148,,1280,549,600,1149,3099,1900,4999,6148,0,0.81,1280,549,600,1149,3099,1900,4999,6148,0.81311,5
1283,1283,360,354,714,1477,616,2093,2807,,1283,360,354,714,1477,616,2093,2807,0,0.75,1283,360,354,714,1477,616,2093,2807,0.745636,4
314,314,867,576,1443,1684,731,2415,3858,,314,867,576,1443,1684,731,2415,3858,0,0.63,314,867,576,1443,1684,731,2415,3858,0.625972,4
1294,1294,583,575,1158,1896,791,2687,3845,,1294,583,575,1158,1896,791,2687,3845,0,0.7,1294,583,575,1158,1896,791,2687,3845,0.69883,4
318,318,1404,1384,2788,6211,2589,8800,11588,,318,1404,1384,2788,6211,2589,8800,11588,0,0.76,318,1404,1384,2788,6211,2589,8800,11588,0.759406,4
320,320,155,67,222,1000,292,1292,1514,,320,155,67,222,1000,292,1292,1514,0,0.85,320,155,67,222,1000,292,1292,1514,0.853369,5
323,323,1220,1081,2301,3196,1474,4670,6971,,323,1220,1081,2301,3196,1474,4670,6971,0,0.67,323,1220,1081,2301,3196,1474,4670,6971,0.669918,4
324,324,142,61,203,2025,590,2615,2818,,324,142,61,203,2025,590,2615,2818,0,0.93,324,142,61,203,2025,590,2615,2818,0.927963,5
325,325,1170,1037,2207,7405,3415,10820,13027,,325,1170,1037,2207,7405,3415,10820,13027,0,0.83,325,1170,1037,2207,7405,3415,10820,13027,0.830583,5
326,326,1520,1346,2866,6954,3207,10161,13027,,326,1520,1346,2866,6954,3207,10161,13027,0,0.78,326,1520,1346,2866,6954,3207,10161,13027,0.779995,4
327,327,1047,928,1975,4362,2012,6374,8349,,327,1047,928,1975,4362,2012,6374,8349,0,0.76,327,1047,928,1975,4362,2012,6374,8349,0.763445,4
328,328,337,298,635,669,309,978,1613,,328,337,298,635,669,309,978,1613,0,0.61,328,337,298,635,669,309,978,1613,0.606324,3
329,329,1067,709,1776,2341,1016,3357,5133,,329,1067,709,1776,2341,1016,3357,5133,0,0.65,329,1067,709,1776,2341,1016,3357,5133,0.654004,4
330,330,23,15,38,32,14,46,84,,330,23,15,38,32,14,46,84,0,0.55,330,23,15,38,32,14,46,84,0.547619,3
331,331,2032,1350,3382,3687,1599,5286,8668,,331,2032,1350,3382,3687,1599,5286,8668,0,0.61,331,2032,1350,3382,3687,1599,5286,8668,0.609829,3
332,332,4212,2800,7012,8868,3847,12715,19727,,332,4212,2800,7012,8868,3847,12715,19727,0,0.64,332,4212,2800,7012,8868,3847,12715,19727,0.644548,4
1302,1302,864,817,1681,1151,822,1973,3654,,1302,864,817,1681,1151,822,1973,3654,0,0.54,1302,864,817,1681,1151,822,1973,3654,0.539956,3
1356,1356,1981,1873,3854,2858,2040,4898,8752,,1356,1981,1873,3854,2858,2040,4898,8752,0,0.56,1356,1981,1873,3854,2858,2040,4898,8752,0.559644,3
1305,1305,1267,1199,2466,1990,1421,3411,5877,,1305,1267,1199,2466,1990,1421,3411,5877,0,0.58,1305,1267,1199,2466,1990,1421,3411,5877,0.580398,3
336,336,1310,1122,2432,6482,2713,9195,11627,,336,1310,1122,2432,6482,2713,9195,11627,0,0.79,336,1310,1122,2432,6482,2713,9195,11627,0.790832,4
1359,1359,1971,1863,3834,2523,1801,4324,8158,,1359,1971,1863,3834,2523,1801,4324,8158,0,0.53,1359,1971,1863,3834,2523,1801,4324,8158,0.530032,3
338,338,447,423,870,677,483,1160,2030,,338,447,423,870,677,483,1160,2030,0,0.57,338,447,423,870,677,483,1160,2030,0.571429,3
1484,1484,986,845,1831,4855,2033,6888,8719,,1484,986,845,1831,4855,2033,6888,8719,0,0.79,1484,986,845,1831,4855,2033,6888,8719,0.789999,4
340,340,833,713,1546,4034,1688,5722,7268,,340,833,713,1546,4034,1688,5722,7268,0,0.79,340,833,713,1546,4034,1688,5722,7268,0.787287,4
341,341,446,383,829,2085,872,2957,3786,,341,446,383,829,2085,872,2957,3786,0,0.78,341,446,383,829,2085,872,2957,3786,0.781035,4
1460,1460,1420,1388,2808,358,493,851,3659,,1460,1420,1388,2808,358,493,851,3659,0,0.23,1460,1420,1388,2808,358,493,851,3659,0.232577,2
1308,1308,1051,1027,2078,380,523,903,2981,,1308,1051,1027,2078,380,523,903,2981,0,0.3,1308,1051,1027,2078,380,523,903,2981,0.302918,2
344,344,260,246,506,130,112,242,748,,344,260,246,506,130,112,242,748,0,0.32,344,260,246,506,130,112,242,748,0.323529,2
349,349,211,200,411,78,67,145,556,,349,211,200,411,78,67,145,556,0,0.26,349,211,200,411,78,67,145,556,0.260791,2
913,913,2029,2111,4140,1190,1222,2412,6552,,913,2029,2111,4140,1190,1222,2412,6552,0,0.37,913,2029,2111,4140,1190,1222,2412,6552,0.368132,2
353,353,2135,1902,4037,1928,1810,3738,7775,,353,2135,1902,4037,1928,1810,3738,7775,0,0.48,353,2135,1902,4037,1928,1810,3738,7775,0.480772,3
354,354,6437,5566,12003,1961,2635,4596,16599,,354,6437,5566,12003,1961,2635,4596,16599,0,0.28,354,6437,5566,12003,1961,2635,4596,16599,0.276884,2
356,356,5865,5581,11446,2150,2082,4232,15678,,356,5865,5581,11446,2150,2082,4232,15678,0,0.27,356,5865,5581,11446,2150,2082,4232,15678,0.269932,2
961,961,1232,1172,2404,729,705,1434,3838,,961,1232,1172,2404,729,705,1434,3838,0,0.37,961,1232,1172,2404,729,705,1434,3838,0.373632,2
358,358,3752,3441,7193,1220,792,2012,9205,,358,3752,3441,7193,1220,792,2012,9205,0,0.22,358,3752,3441,7193,1220,792,2012,9205,0.218577,2
359,359,14455,13258,27713,4819,3128,7947,35660,,359,14455,13258,27713,4819,3128,7947,35660,0,0.22,359,14455,13258,27713,4819,3128,7947,35660,0.222855,2
999,999,2580,2366,4946,906,589,1495,6441,,999,2580,2366,4946,906,589,1495,6441,0,0.23,999,2580,2366,4946,906,589,1495,6441,0.232107,2
361,361,11,11,22,18,12,30,52,,361,11,11,22,18,12,30,52,0,0.58,361,11,11,22,18,12,30,52,0.576923,3
362,362,13918,12765,26683,4813,3124,7937,34620,,362,13918,12765,26683,4813,3124,7937,34620,0,0.23,362,13918,12765,26683,4813,3124,7937,34620,0.229261,2
363,363,7055,5956,13011,2693,1195,3888,16899,,363,7055,5956,13011,2693,1195,3888,16899,0,0.23,363,7055,5956,13011,2693,1195,3888,16899,0.230073,2
364,364,8861,7481,16342,3100,1376,4476,20818,,364,8861,7481,16342,3100,1376,4476,20818,0,0.22,364,8861,7481,16342,3100,1376,4476,20818,0.215006,2
1009,1009,1906,1609,3515,1441,639,2080,5595,,1009,1906,1609,3515,1441,639,2080,5595,0,0.37,1009,1906,1609,3515,1441,639,2080,5595,0.371761,2
366,366,1122,948,2070,267,118,385,2455,,366,1122,948,2070,267,118,385,2455,0,0.16,366,1122,948,2070,267,118,385,2455,0.156823,1
367,367,4820,3895,8715,0,183,183,8898,,367,4820,3895,8715,0,183,183,8898,0,0.02,367,4820,3895,8715,0,183,183,8898,0.020566,1
371,371,3220,2459,5679,299,211,510,6189,,371,3220,2459,5679,299,211,510,6189,0,0.08,371,3220,2459,5679,299,211,510,6189,0.082404,1
985,985,2973,2270,5243,563,398,961,6204,,985,2973,2270,5243,563,398,961,6204,0,0.15,985,2973,2270,5243,563,398,961,6204,0.1549,1
944,944,11555,10368,21923,492,2080,2572,24495,,944,11555,10368,21923,492,2080,2572,24495,0,0.11,944,11555,10368,21923,492,2080,2572,24495,0.105001,1
374,374,18,0,18,1334,25,1359,1377,,374,18,0,18,1334,25,1359,1377,0,0.99,374,18,0,18,1334,25,1359,1377,0.986928,5
375,375,6,0,6,578,11,589,595,,375,6,0,6,578,11,589,595,0,0.99,375,6,0,6,578,11,589,595,0.989916,5
376,376,24,0,24,1959,37,1996,2020,,376,24,0,24,1959,37,1996,2020,0,0.99,376,24,0,24,1959,37,1996,2020,0.988119,5
1475,1475,3,0,3,359,0,359,362,,1475,3,0,3,359,0,359,362,0,0.99,1475,3,0,3,359,0,359,362,0.991713,5
380,380,2387,2075,4462,263,0,263,4725,,380,2387,2075,4462,263,0,263,4725,0,0.06,380,2387,2075,4462,263,0,263,4725,0.055661,1
381,381,84,80,164,2,4,6,170,,381,84,80,164,2,4,6,170,0,0.04,381,84,80,164,2,4,6,170,0.035294,1
1421,1421,1591,1636,3227,311,190,501,3728,,1421,1591,1636,3227,311,190,501,3728,0,0.13,1421,1591,1636,3227,311,190,501,3728,0.134388,1
1423,1423,3260,2556,5816,871,822,1693,7509,,1423,3260,2556,5816,871,822,1693,7509,0,0.23,1423,3260,2556,5816,871,822,1693,7509,0.225463,2
1430,1430,4409,3458,7867,1239,1168,2407,10274,,1430,4409,3458,7867,1239,1168,2407,10274,0,0.23,1430,4409,3458,7867,1239,1168,2407,10274,0.234281,2
1431,1431,4069,3191,7260,954,900,1854,9114,,1431,4069,3191,7260,954,900,1854,9114,0,0.2,1431,4069,3191,7260,954,900,1854,9114,0.203423,1
386,386,14110,13529,27639,4212,4729,8941,36580,,386,14110,13529,27639,4212,4729,8941,36580,0,0.24,386,14110,13529,27639,4212,4729,8941,36580,0.244423,2
387,387,17078,16374,33452,3726,4184,7910,41362,,387,17078,16374,33452,3726,4184,7910,41362,0,0.19,387,17078,16374,33452,3726,4184,7910,41362,0.191238,1
388,388,0,0,0,0,0,0,0,,388,0,0,0,0,0,0,0,0,0,388,0,0,0,0,0,0,0,0,1
389,389,17,0,17,354,0,354,371,,389,17,0,17,354,0,354,371,0,0.95,389,17,0,17,354,0,354,371,0.954178,5
1435,1435,0,0,0,17,0,17,17,,1435,0,0,0,17,0,17,17,0,1,1435,0,0,0,17,0,17,17,1,5
391,391,58,47,105,345,54,399,504,,391,58,47,105,345,54,399,504,0,0.79,391,58,47,105,345,54,399,504,0.791667,4
1315,1315,2510,2136,4646,1189,584,1773,6419,,1315,2510,2136,4646,1189,584,1773,6419,0,0.28,1315,2510,2136,4646,1189,584,1773,6419,0.276211,2
393,393,2338,1990,4328,1346,660,2006,6334,,393,2338,1990,4328,1346,660,2006,6334,0,0.32,393,2338,1990,4328,1346,660,2006,6334,0.316704,2
394,394,7169,6102,13271,6899,3385,10284,23555,,394,7169,6102,13271,6899,3385,10284,23555,0,0.44,394,7169,6102,13271,6899,3385,10284,23555,0.436595,3
395,395,6525,5553,12078,3637,1785,5422,17500,,395,6525,5553,12078,3637,1785,5422,17500,0,0.31,395,6525,5553,12078,3637,1785,5422,17500,0.309829,2
1487,1487,4345,3895,8240,559,435,994,9234,,1487,4345,3895,8240,559,435,994,9234,0,0.11,1487,4345,3895,8240,559,435,994,9234,0.107646,1
397,397,10815,9694,20509,1528,1188,2716,23225,,397,10815,9694,20509,1528,1188,2716,23225,0,0.12,397,10815,9694,20509,1528,1188,2716,23225,0.116943,1
399,399,0,0,0,0,0,0,0,,399,0,0,0,0,0,0,0,0,0,399,0,0,0,0,0,0,0,0,1
400,400,1374,1479,2853,58,0,58,2911,,400,1374,1479,2853,58,0,58,2911,0,0.02,400,1374,1479,2853,58,0,58,2911,0.019924,1
401,401,3272,3524,6796,381,0,381,7177,,401,3272,3524,6796,381,0,381,7177,0,0.05,401,3272,3524,6796,381,0,381,7177,0.053086,1
402,402,918,769,1687,342,18,360,2047,,402,918,769,1687,342,18,360,2047,0,0.18,402,918,769,1687,342,18,360,2047,0.175867,1
403,403,20888,19048,39936,843,1030,1873,41809,,403,20888,19048,39936,843,1030,1873,41809,0,0.04,403,20888,19048,39936,843,1030,1873,41809,0.044799,1
404,404,0,0,0,34157,0,34157,34157,,404,0,0,0,34157,0,34157,34157,0,1,404,0,0,0,34157,0,34157,34157,1,5
411,411,0,0,0,77,0,77,77,,411,0,0,0,77,0,77,77,0,1,411,0,0,0,77,0,77,77,1,5
414,414,0,0,0,0,0,0,0,,414,0,0,0,0,0,0,0,0,0,414,0,0,0,0,0,0,0,0,1
415,415,7,6,13,1,0,1,14,,415,7,6,13,1,0,1,14,0,0.07,415,7,6,13,1,0,1,14,0.071429,1
416,416,4725,4213,8938,3825,2098,5923,14861,,416,4725,4213,8938,3825,2098,5923,14861,0,0.4,416,4725,4213,8938,3825,2098,5923,14861,0.39856,2
11,11,0,0,0,0,0,0,0,,11,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,1
424,424,1553,1230,2783,78,78,156,2939,,424,1553,1230,2783,78,78,156,2939,0,0.05,424,1553,1230,2783,78,78,156,2939,0.053079,1
425,425,2671,2219,4890,2222,2013,4235,9125,,425,2671,2219,4890,2222,2013,4235,9125,0,0.46,425,2671,2219,4890,2222,2013,4235,9125,0.46411,3
427,427,4150,3757,7907,79,713,792,8699,,427,4150,3757,7907,79,713,792,8699,0,0.09,427,4150,3757,7907,79,713,792,8699,0.091045,1
428,428,10409,9425,19834,138,1238,1376,21210,,428,10409,9425,19834,138,1238,1376,21210,0,0.06,428,10409,9425,19834,138,1238,1376,21210,0.064875,1
45,45,5478,6003,11481,1070,714,1784,13265,,45,5478,6003,11481,1070,714,1784,13265,0,0.13,45,5478,6003,11481,1070,714,1784,13265,0.134489,1
430,430,0,0,0,0,0,0,0,,430,0,0,0,0,0,0,0,0,0,430,0,0,0,0,0,0,0,0,1
581,581,1553,1450,3003,187,746,933,3936,,581,1553,1450,3003,187,746,933,3936,0,0.24,581,1553,1450,3003,187,746,933,3936,0.237043,2
442,442,8476,3207,11683,0,1093,1093,12776,,442,8476,3207,11683,0,1093,1093,12776,0,0.09,442,8476,3207,11683,0,1093,1093,12776,0.085551,1
443,443,0,0,0,50,1,51,51,,443,0,0,0,50,1,51,51,0,1,443,0,0,0,50,1,51,51,1,5
444,444,776,293,1069,0,30,30,1099,,444,776,293,1069,0,30,30,1099,0,0.03,444,776,293,1069,0,30,30,1099,0.027298,1
611,611,7,0,7,249,3,252,259,,611,7,0,7,249,3,252,259,0,0.97,611,7,0,7,249,3,252,259,0.972973,5
446,446,8103,3066,11169,0,1903,1903,13072,,446,8103,3066,11169,0,1903,1903,13072,0,0.15,446,8103,3066,11169,0,1903,1903,13072,0.145578,1
450,450,3,0,3,377,4,381,384,,450,3,0,3,377,4,381,384,0,0.99,450,3,0,3,377,4,381,384,0.992188,5
451,451,0,0,0,83,1,84,84,,451,0,0,0,83,1,84,84,0,1,451,0,0,0,83,1,84,84,1,5
453,453,1,0,1,81,1,82,83,,453,1,0,1,81,1,82,83,0,0.99,453,1,0,1,81,1,82,83,0.987952,5
774,774,851,656,1507,82,143,225,1732,,774,851,656,1507,82,143,225,1732,0,0.13,774,851,656,1507,82,143,225,1732,0.129908,1
456,456,4680,3603,8283,165,288,453,8736,,456,4680,3603,8283,165,288,453,8736,0,0.05,456,4680,3603,8283,165,288,453,8736,0.051854,1
457,457,0,0,0,0,0,0,0,,457,0,0,0,0,0,0,0,0,0,457,0,0,0,0,0,0,0,0,1
458,458,2739,2108,4847,167,292,459,5306,,458,2739,2108,4847,167,292,459,5306,0,0.09,458,2739,2108,4847,167,292,459,5306,0.086506,1
459,459,814,627,1441,32,55,87,1528,,459,814,627,1441,32,55,87,1528,0,0.06,459,814,627,1441,32,55,87,1528,0.056937,1
778,778,8,7,15,1,1,2,17,,778,8,7,15,1,1,2,17,0,0.12,778,8,7,15,1,1,2,17,0.117647,1
1378,1378,3018,2714,5732,1015,582,1597,7329,,1378,3018,2714,5732,1015,582,1597,7329,0,0.22,1378,3018,2714,5732,1015,582,1597,7329,0.217901,2
1380,1380,5054,4544,9598,700,401,1101,10699,,1380,5054,4544,9598,700,401,1101,10699,0,0.1,1380,5054,4544,9598,700,401,1101,10699,0.102907,1
