TAZ,Perc_Cont
468,0.273688
469,0.072712
470,0.14835
471,0.146068
472,0.326519
473,0.265634
474,0.311238
475,0.209401
476,0.185968
477,0.136982
478,0.488267
479,0.069217
480,0.057552
481,0.04
482,0.038647
483,0.049192
484,0.303741
485,0.144435
486,0.022029
487,0.057453
488,0.042773
489,0.203742
490,0.153579
491,0.175318
492,0.352575
493,0
494,0
495,0.093901
496,0.139269
497,0.526667
498,0.185848
499,0.333333
500,0
501,0.059829
502,0.502433
503,0
504,0.29304
505,0.243369
506,0
507,0.138086
508,0.373978
509,0.942257
510,1
511,0
512,0.84
513,0
514,0.187655
515,0.273239
516,0
517,0.191011
518,1
519,0
520,0.121993
521,0.214503
522,0
523,0
524,0
525,0
526,0.403628
527,0
528,0
529,0.397968
530,0
531,0
532,0
533,0
534,0
535,0
536,0
537,0
538,0.041958
539,0
540,0.416667
541,0
542,1
543,1
544,1
545,0
546,0
547,1
548,0.43075
549,0
550,1
551,1
552,0
553,0
554,0
555,0
556,1
557,1
558,0
559,1
560,0.522714
561,0
562,0.538586
563,0.432608
564,0.575439
565,1
566,0.204697
567,0.220208
568,0.250548
569,0.321346
570,0.290153
571,0
572,0.260498
573,0.517857
574,0.578947
575,0.560461
576,0
577,0.18293
578,0.235602
579,0.105164
580,0
581,0.237043
582,0.25
583,0.088603
584,0.214876
585,0.219154
586,0.289841
587,0
588,0.024069
589,0.136216
590,0.044321
591,0.047591
592,0.106427
593,0
594,0.147761
595,0.2
596,0
597,0.441514
598,0.325434
599,0.352888
600,0.231815
601,0.319985
602,0.342218
603,0.380383
604,0.379777
605,0.446586
606,0.344488
607,0.190416
608,0.370096
609,0.145237
610,0.203488
611,0.972973
612,1
613,0
614,0
615,0.527117
616,0
617,0
618,0.5
619,0
620,0.318595
621,0
622,0
623,0
624,0.507126
625,0
626,0.426277
627,0
628,0.487659
629,0.417063
630,0
631,0.515152
632,0.308333
633,0
634,0.443578
635,0
636,0
637,0.338979
638,0.305364
639,0
640,0.325893
641,0
642,0
643,0.198189
644,0
645,0.167286
646,0
647,0
648,0.448797
649,0.310139
650,0.163426
651,0
652,0.47588
653,0.172222
654,0.22334
655,0.455056
656,0.494815
657,0.233968
658,0.134921
659,0.199713
660,0.085397
661,0
662,0
663,0
664,0.383633
665,0
666,0.094752
667,0.089552
668,0.246622
669,0
670,0.25
671,0
672,0
673,0.026522
674,0
675,0
676,0
677,0.38874
678,0.290887
679,0
680,0
681,0
682,0.413793
683,0.252523
684,0
685,0.098987
686,1
687,0.156919
688,0.180754
689,0
690,1
691,0.372188
692,0
693,0
694,0.436364
695,0.442308
696,0.527347
697,0
698,0
699,0
700,0.28125
701,0.401158
702,0
703,0.38902
704,0.393038
705,0.33796
706,0.363269
707,0.37766
708,0.440949
709,0.420718
710,0.439955
711,0.090909
712,0.477325
713,0.445415
714,0.383512
715,0.446996
716,0.330667
717,0.334209
718,0.297444
719,0.36547
720,0.259941
721,0.326377
722,0.283054
723,0.36342
724,0.300208
725,0.418887
726,0.377491
727,0.395397
728,0.263353
729,0.365903
730,0.229076
731,0.250566
732,0.219367
733,0.320452
734,0.157191
735,0.184141
736,0.524061
737,0.492
738,0.458241
739,0.451121
740,0.44875
741,0.433579
742,0.251799
743,0.711712
744,0.545312
745,0.557467
746,0.693299
747,0.545832
748,0.23879
749,0.438845
750,0.646648
751,0
752,0.567937
753,0
754,0.563525
755,0.348622
756,0.348445
757,0.33605
758,0.35016
759,0.5
760,0.045002
761,0.040761
762,0.124404
763,0.212852
764,0.303462
765,0.148599
766,0.108804
767,0.03589
768,0
769,0.143832
770,0.113471
771,0.107301
772,0.108994
773,0.099509
774,0.129908
775,1
776,1
777,1
778,0.117647
779,0.833333
780,0
781,0.709416
782,0.75
783,0.175627
784,0.521266
785,0.394649
786,0.285714
787,0.288568
788,0.474343
789,0
790,0.760909
791,0
792,0
793,0.408545
794,0.48448
795,0.299257
796,0.297778
797,0.559149
798,0.521924
799,0.584883
800,0.51779
801,0.607595
802,0.556613
803,0.615159
804,0.670553
805,0
806,0.384988
807,0.516343
808,0.497559
809,0.382904
810,0.163311
811,0.38341
812,0.275235
813,0.588235
814,0
815,0.641538
816,0.478808
817,0.567568
818,0.377317
819,0
820,0.262267
821,0.332402
822,0.551136
823,0.494949
824,0
825,0.882038
826,0.611229
827,0.647409
828,0.582009
829,0.796875
830,0.781069
831,0.668909
832,0.715536
833,0.72043
834,0.668407
835,0.734328
836,0.746789
837,0.535005
838,0.534836
839,0.265483
840,0.465594
841,0.411195
842,0.559908
843,0.779563
844,0.784024
845,0.558061
846,0.512195
847,0.7162
848,0.699331
849,0.668908
850,0.68306
851,0.639274
852,0.753659
853,0.607306
854,0.4
855,0.772727
856,0.620169
857,0.313131
858,0.522442
859,0.651505
860,0.555812
861,0.595634
862,0.506996
863,0.611621
864,0.648459
865,0.622414
866,0.608961
867,0.655285
868,0.658754
869,0.142857
870,0.342016
871,0.46865
872,0.341756
873,0.544314
874,0.780664
875,0.778055
876,0.775551
877,0.68277
878,0.561326
879,0.564806
880,0.716811
881,0.669216
882,0.649183
883,0.734746
884,0.780859
885,0.712766
886,0.778711
887,0
888,0.395399
889,0.320682
890,0.22552
891,0.209696
892,0.191372
893,0.203091
894,0.222594
895,0.262631
896,0.341078
897,0.227894
898,0.255134
899,0.204093
900,0.475844
901,0.316098
902,0.209866
903,0.301544
904,0.374012
905,0.263449
906,0.257381
907,0.237766
908,0.282194
909,0.266413
910,0.227197
911,0.448471
912,0.49115
913,0.368132
914,0.400827
915,0.416001
916,0.27805
917,0.341401
918,0.349005
919,0.714286
920,0.728814
921,0.219819
922,0.329833
923,0.534317
924,0.348634
925,0.435886
926,0.515989
927,0.540485
928,0
929,0.410779
930,0.244994
931,0
932,0.375
933,0.22066
934,0.227027
935,0.244168
936,0.268257
937,0.318521
938,0.308864
939,0.295465
940,0.320469
941,0.317487
942,0.374146
943,0.246445
944,0.105001
945,0.262626
946,0.179104
947,0.260804
948,0.466189
949,0
950,0.226196
951,0.28189
952,0.388614
953,0.12065
954,0.359038
955,0.306944
956,0.244794
957,0.296958
958,0.281845
959,0.262964
960,0.22848
961,0.373632
962,0.264793
963,0.205411
964,0.215967
965,0.187602
966,0.306401
967,0.401598
968,0.375798
969,0.348434
970,0
971,0.217111
972,0.204876
973,0.079632
974,0.127469
975,0.160428
976,0.26738
977,0.322581
978,0
979,0.068478
980,0.09125
981,0.184958
982,0.147943
983,0.226415
984,0.104197
985,0.1549
986,0.289286
987,0.289073
988,0.289908
989,0.181698
990,0.294511
991,0.276903
992,0.245294
993,0.249004
994,0.217169
995,0.275115
996,0.250776
997,0.289187
998,0.305125
999,0.232107
1000,0.264124
1001,0.223472
1002,0.185545
1003,0.183673
1004,0.154922
1005,0.192298
1006,0.168517
1007,0.314832
1008,0
1009,0.371761
1010,0.383292
1011,0.371229
1012,0
1013,0
1014,0
1015,0.206368
1016,0.234008
1017,0.177753
1018,0.174658
1019,0.447368
1020,0.170675
1021,0.27234
1022,0.182209
1023,0.791723
1024,0.342412
1025,0.627036
1026,0.538462
1027,0
1028,0.438172
1029,0.27438
1030,0.868852
1031,0.683282
1032,0.820397
1033,0.337255
1034,0
1035,0.732247
1036,0
1037,0.8
1038,0.589147
1039,0.76345
1040,0.615385
1041,0.716125
1042,0.512712
1043,0.782823
1044,0
1045,0.800789
1046,0
1047,0.62069
1048,0.795945
1049,0.800851
1050,0.802128
1051,0.797936
1052,0.8
1053,0
1054,0.801843
1055,0.801257
1056,0.801582
1057,0.804445
1058,0.804077
1059,0.797716
1060,0.9375
1061,0.965986
1062,0
1063,0.940373
1064,0.612245
1065,0.75
1066,0.931507
1067,0.754491
1068,0.764706
1069,0.514851
1070,0.823529
1071,0.738811
1072,0.778629
1073,0.800516
1074,0.174362
1075,0.147248
1076,0.181673
1077,0.191124
1078,0.243583
1079,0.19214
1080,0.167695
1081,0.6
1082,0.24026
1083,0.177914
1084,0.583184
1085,0.290737
1086,0.455696
1087,0.341213
1088,0.244597
1089,0.286462
1090,0.240913
1091,0
1092,0.641476
1093,0
1094,0.237512
1095,0.518213
1096,0.48227
1097,0.44898
1098,0.754011
1099,0.602459
1100,0.386364
1101,0.578828
1102,0.631806
1103,0.601513
1104,0.128614
1105,0.346369
1106,0.566622
1107,0.548104
1108,0.170124
1109,0.757392
1110,0.301872
1111,0.334693
1112,0.321492
1113,0.330181
1114,0.202786
1115,0.373256
1116,0.365825
1117,0.316218
1118,0.922025
1119,0.923339
1120,0.926694
1121,0.931097
1122,0.896511
1123,0.859577
1124,0.919647
1125,0.895669
1126,0.87605
1127,0.835498
1128,0.832494
1129,0
1130,0.921053
1131,0.86115
1132,0.457143
1133,0.857143
1134,0.831081
1135,0.857143
1136,0.928994
1137,0.827736
1138,0
1139,0.883988
1140,0.880528
1141,0.91048
1142,0.865052
1143,0.386473
1144,0.82093
1145,0.882353
1146,0.802893
1147,0.814591
1148,0.812382
1149,0.881373
1150,0.876601
1151,0.680525
1152,0
1153,0.794343
1154,0.830465
1155,0.847904
1156,0.796694
1157,0.737288
1158,0.8
1159,0.291139
1160,0.529412
1161,0.801047
1162,0.478495
1163,0.84
1164,0.818182
1165,0.760081
1166,0.795645
1167,0
1168,0.806656
1169,0.775791
1170,0.721374
1171,0.710145
1172,0.793073
1173,0
1174,0.834699
1175,0.809211
1176,0.712032
1177,0.833962
1178,0.823322
1179,0.732334
1180,0
1181,0.818182
1182,0.835491
1183,0
1184,0.822222
1185,0
1186,0.846154
1187,0
1188,0.8
1189,0
1190,0.888808
1191,0.906137
1192,0.787848
1193,0.785714
1194,0.90694
1195,0.799168
1196,0
1197,0.797235
1198,0.878136
1199,0.395833
1200,0.86155
1201,0
1202,0.896797
1203,0.825243
1204,0
1205,0.791271
1206,0.861423
1207,0.805897
1208,0.797502
1209,0.853821
1210,0.80662
1211,0
1212,0.629135
1213,0.857143
1214,0.559872
1215,0.792263
1216,0.778698
1217,0.812098
1218,0.829845
1219,0.832898
1220,0.957944
1221,0.958824
1222,0.98674
1223,1
1224,0.986726
1225,0.986702
1226,0.986652
1227,0.987267
1228,0
1229,1
1230,0.987427
1231,0.953445
1232,0.952857
1233,0.953893
1234,0.95353
1235,0.953865
1236,0
1237,0.953538
1238,0.908666
1239,0.921841
1240,0.792188
1241,0.794533
1242,0.944412
1243,0.949038
1244,0.950255
1245,0.944099
1246,0.949782
1247,0.948454
1248,0.946539
1249,0.948304
1250,0.950873
1251,0.945619
1252,0.948107
1253,0.948473
1254,0.949885
1255,0.945545
1256,0.95122
1257,0
1258,0.94835
1259,0
1260,0
1261,0.880285
1262,0.879078
1263,0.879361
1264,0.789171
1265,0.791667
1266,0.788568
1267,0.482438
1268,0.413171
1269,0
1270,0.436004
1271,0.432314
1272,0.466667
1273,0.421328
1274,0.795455
1275,0
1276,0.766625
1277,0.796296
1278,0.468802
1279,0.812022
1280,0.81311
1281,0.810778
1282,0.814755
1283,0.745636
1284,0.747492
1285,0.723818
1286,0.745652
1287,0.761457
1288,0.667579
1289,0.618375
1290,0.65808
1291,0.64311
1292,0.632514
1293,0.642491
1294,0.69883
1295,0.765692
1296,0.747825
1297,0.752557
1298,0.75
1299,0.761261
1300,0.763862
1301,0.760766
1302,0.539956
1303,0.498404
1304,0.446707
1305,0.580398
1306,0.789077
1307,0.390244
1308,0.302918
1309,0.607143
1310,0.449011
1311,0.511928
1312,0.418176
1313,0.43254
1314,0.560917
1315,0.276211
1316,0.609938
1317,0.495873
1318,0.610494
1319,0.315534
1320,0.510854
1321,0.608856
1322,0.610194
1323,0.518182
1324,0.341435
1325,0.291531
1326,0.186954
1327,0.145098
1328,0
1329,0.10398
1330,0.096702
1331,0.24453
1332,0.125
1333,0.283267
1334,0.27193
1335,0.958741
1336,0.959759
1337,0.955774
1338,0
1339,0.980183
1340,0.979465
1341,0.834002
1342,0.863536
1343,0.835664
1344,0.918159
1345,0.830291
1346,0.43949
1347,0.862595
1348,0.863922
1349,0.863376
1350,0.864238
1351,0.763141
1352,0.759925
1353,0.762003
1354,0.760878
1355,0.761323
1356,0.559644
1357,0.56955
1358,0.530412
1359,0.530032
1360,0
1361,0.557201
1362,0.738462
1363,0.590909
1364,0.788764
1365,0.787201
1366,1
1367,0.447154
1368,0.242884
1369,0.092938
1370,0.078137
1371,0.090607
1372,0.073006
1373,0.065232
1374,0.405229
1375,0.189619
1376,0.098485
1377,0.095702
1378,0.217901
1379,0.386047
1380,0.102907
1381,0.086099
1382,0.111651
1383,0.078343
1384,0.09682
1385,0.086971
1386,0.081573
1387,0.253798
1388,0.287368
1389,0.060543
1390,0.063207
1391,0.059334
1392,0.064072
1393,0.078549
1394,0.251307
1395,0.217252
1396,0.155139
1397,0
1398,0
1399,0.164807
1400,0.332422
1401,0.696356
1402,0
1403,0.516568
1404,0.59552
1405,0.805556
1406,0.857143
1407,0.695846
1408,0.59919
1409,0.602163
1410,0.401414
1411,0.241852
1412,0.117647
1413,0
1414,0
1415,0.146382
1416,0.091406
1417,0.03937
1418,0.102299
1419,0.389909
1420,0.455437
1421,0.134388
1422,0.177194
1423,0.225463
1424,0.238841
1425,0.160804
1426,0.25418
1427,0.169179
1428,0.1118
1429,0.127575
1430,0.234281
1431,0.203423
1432,0.219828
1433,0.287898
1434,0.206083
1435,1
1436,0.969912
1437,0.96875
1438,0.147887
1439,0.11174
1440,0.135436
1441,0
1442,0
1443,0
1444,0.042553
1445,0.375
1446,0.169675
1447,0.033473
1448,0.5
1449,0.195139
1450,0.256632
1451,0.1125
1452,0.303529
1453,0.063604
1454,0.071698
1455,0.055874
1456,0.1875
1457,0
1458,0.190842
1459,0.256235
1460,0.232577
1461,0.403884
1462,0.307842
1463,0.318957
1464,0.367495
1465,0.886318
1466,0.9
1467,0.909091
1468,0.890188
1469,0.86055
1470,0.859095
1471,0.666394
1472,0.988435
1473,0.989744
1474,0.988439
1475,0.991713
1476,0.690876
1477,0.772242
1478,0.774089
1479,0.762143
1480,0.336818
1481,0.816386
1482,0.846377
1483,0
1484,0.789999
1485,0.789823
1486,0.087903
1487,0.107646
1488,0.040576
1489,0
1490,0.040214
1491,0
1492,0
